add-m,1,10000,20000,718102,71,0
add-m,2,10000,40000,4249837,424,0
add-m,4,10000,80000,10787111,1078,0
add-m,8,10000,160000,25557514,2555,0
add-m,12,10000,240000,38221318,3822,0
add-yield-m,2,10000,40000,14043839,1404,0
add-yield-m,4,10000,80000,32291843,3229,0
add-yield-m,8,10000,160000,86742551,8674,0
add-yield-m,12,10000,240000,160849963,16084,0
add-s,1,10000,20000,398252,39,0
add-s,2,10000,40000,2836789,283,0
add-s,4,10000,80000,13227933,1322,0
add-s,8,10000,160000,37180181,3718,0
add-s,12,10000,240000,64573460,6457,0
add-yield-s,2,1000,4000,1379390,1379,0
add-yield-s,4,1000,8000,2863460,2863,0
add-yield-s,8,1000,16000,18940071,18940,0
add-yield-s,12,1000,24000,1497736777,1497736,0
add-c,1,10000,20000,566205,56,0
add-c,2,10000,40000,2344150,234,0
add-c,4,10000,80000,12202217,1220,0
add-c,8,10000,160000,32367530,3236,0
add-c,12,10000,240000,46533761,4653,0
add-yield-c,0,1,0,34169,34169,0
add-yield-c,0,1,0,32916,32916,0
add-yield-c,0,1,0,35455,35455,0
add-yield-c,0,1,0,36528,36528,0
